# This file contains a map between the DSID and the name of the histogram to be used by HistNameSvc
# Format: DSID / Name used in HistNameSvc / Description(not used anywhere) / etag / crossSection / kfactor / genFiltEff				
# WARNING 1: for samples with multiple e-tags the e-tag that should be used must be specified in the 4th column
# WARNING 2: if the columns 5-6 are filled the PMG cross-sections will be overwritten with those provided in this file
346344	                           ttH	                 PhPy8EG_A14NNPDF23_NNPDF30ME_ttH125_semilep	e7148	
364149	                             Z	   Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV140_280_CFilterBVeto	e5308	
364150	                             Z	        Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV140_280_BFilter	e5308	
364151	                             Z	     Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV280_500_CVetoBVeto	e5308	
364152	                             Z	   Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV280_500_CFilterBVeto	e5308	
364153	                             Z	        Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV280_500_BFilter	e5308	
364154	                             Z	               Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV500_1000	e5308	
364155	                             Z	             Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV1000_E_CMS	e5308	
366010	                             Z	                     Sh_221_NN30NNLO_Znunu_PTV70_100_BFilter	e6695	
366011	                             Z	           Sh_221_NN30NNLO_Znunu_PTV100_140_MJJ0_500_BFilter	e6695	
366012	                             Z	        Sh_221_NN30NNLO_Znunu_PTV100_140_MJJ500_1000_BFilter	e6695	
366013	                             Z	      Sh_221_NN30NNLO_Znunu_PTV100_140_MJJ1000_E_CMS_BFilter	e6695	
366014	                             Z	           Sh_221_NN30NNLO_Znunu_PTV140_280_MJJ0_500_BFilter	e6695	
366015	                             Z	        Sh_221_NN30NNLO_Znunu_PTV140_280_MJJ500_1000_BFilter	e6695	
366016	                             Z	      Sh_221_NN30NNLO_Znunu_PTV140_280_MJJ1000_E_CMS_BFilter	e6695	
366017	                             Z	                    Sh_221_NN30NNLO_Znunu_PTV280_500_BFilter	e6695	
366019	                             Z	                Sh_221_NN30NNLO_Znunu_PTV70_100_CFilterBVeto	e7033	
366020	                             Z	      Sh_221_NN30NNLO_Znunu_PTV100_140_MJJ0_500_CFilterBVeto	e7033	
366021	                             Z	   Sh_221_NN30NNLO_Znunu_PTV100_140_MJJ500_1000_CFilterBVeto	e7033	
366022	                             Z	 Sh_221_NN30NNLO_Znunu_PTV100_140_MJJ1000_E_CMS_CFilterBVeto	e7033	
366023	                             Z	      Sh_221_NN30NNLO_Znunu_PTV140_280_MJJ0_500_CFilterBVeto	e7033	
366024	                             Z	   Sh_221_NN30NNLO_Znunu_PTV140_280_MJJ500_1000_CFilterBVeto	e7033	
366025	                             Z	 Sh_221_NN30NNLO_Znunu_PTV140_280_MJJ1000_E_CMS_CFilterBVeto	e7033	
366026	                             Z	               Sh_221_NN30NNLO_Znunu_PTV280_500_CFilterBVeto	e7033	
366028	                             Z	                  Sh_221_NN30NNLO_Znunu_PTV70_100_CVetoBVeto	e7033	
366029	                             Z	        Sh_221_NN30NNLO_Znunu_PTV100_140_MJJ0_500_CVetoBVeto	e7033	
366030	                             Z	     Sh_221_NN30NNLO_Znunu_PTV100_140_MJJ500_1000_CVetoBVeto	e7033	
366031	                             Z	   Sh_221_NN30NNLO_Znunu_PTV100_140_MJJ1000_E_CMS_CVetoBVeto	e7033	
366032	                             Z	        Sh_221_NN30NNLO_Znunu_PTV140_280_MJJ0_500_CVetoBVeto	e7033	
366033	                             Z	     Sh_221_NN30NNLO_Znunu_PTV140_280_MJJ500_1000_CVetoBVeto	e7033	
366034	                             Z	   Sh_221_NN30NNLO_Znunu_PTV140_280_MJJ1000_E_CMS_CVetoBVeto	e7033	
366035	                             Z	                 Sh_221_NN30NNLO_Znunu_PTV280_500_CVetoBVeto	e7033	
364156	                             W	        Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_CVetoBVeto	e5340	
364157	                             W	      Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_CFilterBVeto	e5340	
